6	1509623226	12	[Removed 0 sampled files]
6	1509623231	12	[Removed 0 sampled files]
6	1509623236	12	[Removed 0 sampled files]
6	1509623241	12	[Removed 0 sampled files]
6	1509623246	12	[Removed 0 sampled files]
6	1509623251	12	[Removed 0 sampled files]
6	1509623256	12	[Removed 0 sampled files]
6	1509623261	12	[Removed 0 sampled files]
6	1509623266	12	[Removed 0 sampled files]
6	1509623271	12	[Removed 0 sampled files]
6	1509623276	12	[Removed 0 sampled files]
6	1509623281	12	[Removed 0 sampled files]
6	1509623286	12	[Removed 0 sampled files]
6	1509623291	12	[Removed 0 sampled files]
6	1509623296	12	[Removed 0 sampled files]
6	1509623301	12	[Removed 0 sampled files]
6	1509623306	12	[Removed 0 sampled files]
6	1509623311	12	[Removed 0 sampled files]
6	1509623316	12	[Removed 0 sampled files]
6	1509623321	12	[Removed 0 sampled files]
6	1509623326	12	[Removed 0 sampled files]
6	1509623331	12	[Removed 0 sampled files]
6	1509623331	13	[Closing output results file]
6	1509623331	5	[Closing MMT Extraction engine!]
6	1509623331	2	[Closing MMT Probe!]
4	1509623331	18	[Interruption Termination signal received! Cleaning up before exiting!]
6	1509623357	1	[MMT Probe started!]
6	1509623357	3	[Initializating MMT Extraction engine! Single threaded operation.]
6	1509623357	4	[MMT Extraction engine! successfully initialized in a single threaded operation.]
6	1509623362	13	[Closing output results file]
6	1509983641	1	[MMT Probe started!]
6	1509983642	3	[Initializating MMT Extraction engine! Single threaded operation.]
6	1509983642	4	[MMT Extraction engine! successfully initialized in a single threaded operation.]
6	1509983647	12	[Removed 2 sampled files]
6	1509983647	12	[Open output results file: /opt/mmt/probe/1509983647_0_dataoutput.csv]
6	1509983652	12	[Removed 1 sampled files]
6	1509983652	12	[Open output results file: /opt/mmt/probe/1509983652_0_dataoutput.csv]
6	1509983657	12	[Removed 1 sampled files]
6	1509983657	12	[Open output results file: /opt/mmt/probe/1509983657_0_dataoutput.csv]
6	1509983662	12	[Removed 1 sampled files]
6	1509983662	12	[Open output results file: /opt/mmt/probe/1509983662_0_dataoutput.csv]
6	1509983667	12	[Removed 1 sampled files]
6	1509983667	12	[Open output results file: /opt/mmt/probe/1509983667_0_dataoutput.csv]
6	1509983672	12	[Removed 1 sampled files]
6	1509983672	12	[Open output results file: /opt/mmt/probe/1509983672_0_dataoutput.csv]
6	1509983677	12	[Removed 1 sampled files]
6	1509983677	12	[Open output results file: /opt/mmt/probe/1509983677_0_dataoutput.csv]
6	1509983682	12	[Removed 1 sampled files]
6	1509983682	12	[Open output results file: /opt/mmt/probe/1509983682_0_dataoutput.csv]
6	1509983687	12	[Removed 1 sampled files]
6	1509983687	12	[Open output results file: /opt/mmt/probe/1509983687_0_dataoutput.csv]
6	1509983692	12	[Removed 1 sampled files]
6	1509983692	12	[Open output results file: /opt/mmt/probe/1509983692_0_dataoutput.csv]
6	1509983697	12	[Removed 1 sampled files]
6	1509983697	12	[Open output results file: /opt/mmt/probe/1509983697_0_dataoutput.csv]
6	1509983701	12	[Open output results file: /opt/mmt/probe/1509983701_0_dataoutput.csv]
6	1509983701	13	[Closing output results file]
6	1509983909	1	[MMT Probe started!]
6	1509983909	3	[Initializating MMT Extraction engine! Single threaded operation.]
6	1509983909	4	[MMT Extraction engine! successfully initialized in a single threaded operation.]
6	1509983909	12	[Open output results file: /opt/mmt/probe/1509983909_0_dataoutput.csv]
6	1509983909	13	[Closing output results file]
6	1509983986	1	[MMT Probe started!]
6	1509983986	3	[Initializating MMT Extraction engine! Single threaded operation.]
6	1509983986	4	[MMT Extraction engine! successfully initialized in a single threaded operation.]
6	1509983991	12	[Removed 3 sampled files]
6	1509983991	12	[Open output results file: /opt/mmt/probe/1509983991_0_dataoutput.csv]
6	1509983996	12	[Removed 1 sampled files]
6	1509983996	12	[Open output results file: /opt/mmt/probe/1509983996_0_dataoutput.csv]
6	1509984001	12	[Removed 1 sampled files]
6	1509984001	12	[Open output results file: /opt/mmt/probe/1509984001_0_dataoutput.csv]
6	1509984001	12	[Open output results file: /opt/mmt/probe/1509984001_0_dataoutput.csv]
6	1509984001	13	[Closing output results file]
